"id","destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","car","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ5min","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y","Age_Group","Time_of_Day","Coupon_Status"
"A00175","Work","Alone","Rainy",55,"7AM","Carry out & Take away","1d","Female","31","Single",0,"Associates degree","Arts Design Entertainment Sports & Media","$75000 - $87499","","Unknown","less1","gt8","1~3","less1",1,0,0,0,1,"0","50 Below","Morning",NA
"A01360","Home","Alone","Sunny",55,"6PM","Bar","1d","Female","31","Unmarried partner",0,"Bachelors degree","Legal","$100000 or More","","never","less1","less1","1~3","1~3",1,0,0,1,0,"0","50 Below","Evening",NA
"A02292","Home","Alone","Sunny",55,"6PM","Coffee House","1d","Male","26","Unmarried partner",1,"Some college - no degree","Transportation & Material Moving","$12500 - $24999","","1~3","4~8","1~3","4~8","less1",1,1,0,1,0,"1","50 Below","Evening",NA
"A03767","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(20-50)","1d","Male","21","Single",0,"Some college - no degree","Student","$12500 - $24999","","1~3","less1","4~8","less1","never",1,1,0,0,1,"1","50 Below","Afternoon",NA
"A03805","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(<20)","1d","Male","46","Single",0,"Some college - no degree","Student","$12500 - $24999","","never","4~8","1~3","1~3","never",1,1,0,0,1,"1","50 Below","Afternoon",NA
"A04252","No Urgent Place","Friend(s)","Sunny",55,"2PM","Coffee House","2h","Male","21","Single",0,"Bachelors degree","Architecture & Engineering","$62500 - $74999","","never","less1","4~8","4~8","less1",1,0,0,0,1,"0","50 Below","Afternoon",NA
"A04593","Work","Alone","Sunny",80,"7AM","Carry out & Take away","1d","Male","31","Single",0,"High School Graduate","Unemployed","$12500 - $24999","","never","never","1~3","1~3","1~3",1,1,1,0,1,"1","50 Below","Morning",NA
"A04605","No Urgent Place","Friend(s)","Sunny",80,"6PM","Restaurant(<20)","1d","Male","31","Single",0,"High School Graduate","Production Occupations","$25000 - $37499","","1~3","never","4~8","1~3","less1",1,1,0,0,1,"1","50 Below","Evening",NA
"A04616","Home","Alone","Sunny",80,"6PM","Carry out & Take away","2h","Female","below21","Single",0,"Bachelors degree","Student","$12500 - $24999","","gt8","1~3","less1","4~8","gt8",1,1,0,1,0,"1","50 Below","Evening",NA
"A04897","Work","Alone","Snowy",30,"7AM","Bar","1d","Female","26","Unmarried partner",0,"Some college - no degree","Office & Administrative Support","$50000 - $62499","","1~3","never","4~8","4~8","less1",1,1,1,0,1,"1","50 Below","Morning",NA
"A04941","Home","Alone","Sunny",80,"6PM","Coffee House","2h","Female","50plus","Married partner",0,"Some college - no degree","Unemployed","$25000 - $37499","","never","never","1~3","4~8","never",1,1,1,0,1,"0","50 Above","Evening",NA
"A05798","No Urgent Place","Alone","Sunny",55,"6PM","Coffee House","2h","Male","26","Unmarried partner",0,"Bachelors degree","Management","$25000 - $37499","","1~3","never","4~8","never","1~3",1,0,0,0,1,"0","50 Below","Evening",NA
"A05895","Home","Alone","Sunny",80,"6PM","Restaurant(<20)","2h","Female","26","Married partner",0,"Graduate degree (Masters or Doctorate)","Unemployed","$62500 - $74999","","4~8","1~3","4~8","4~8","1~3",1,0,0,1,0,"1","50 Below","Evening",NA
"A06955","Home","Alone","Sunny",55,"10PM","Carry out & Take away","1d","Female","50plus","Single",0,"Bachelors degree","Unemployed","Less than $12500","","never","never","less1","less1","never",1,1,1,0,1,"1","50 Above","Night",NA
"A07001","Work","Alone","Rainy",55,"7AM","Restaurant(<20)","2h","Female","36","Unmarried partner",0,"Associates degree","Unemployed","$75000 - $87499","","never","never","gt8","gt8","1~3",1,1,1,0,1,"0","50 Below","Morning",NA
"A07038","No Urgent Place","Friend(s)","Sunny",55,"6PM","Carry out & Take away","1d","Male","46","Single",0,"Graduate degree (Masters or Doctorate)","Computer & Mathematical","$37500 - $49999","","never","gt8","1~3","4~8","less1",1,1,0,0,1,"1","50 Below","Evening",NA
"A07865","Home","Alone","Sunny",55,"6PM","Restaurant(20-50)","2h","Male","21","Single",0,"Bachelors degree","Student","$100000 or More","","1~3","4~8","1~3","4~8","1~3",1,1,0,0,1,"0","50 Below","Evening",NA
"A09428","No Urgent Place","Partner","Sunny",80,"6PM","Bar","1d","Male","36","Married partner",0,"Associates degree","Protective Service","$100000 or More","","4~8","never","4~8","4~8","1~3",1,1,0,0,1,"1","50 Below","Evening",NA
"A10122","Home","Alone","Sunny",80,"6PM","Restaurant(<20)","2h","Female","below21","Single",0,"High School Graduate","Unemployed","Less than $12500","","never","never","4~8","4~8","never",1,0,0,1,0,"1","50 Below","Evening",NA
"A10151","No Urgent Place","Alone","Sunny",55,"2PM","Restaurant(<20)","1d","Female","31","Single",0,"Bachelors degree","Transportation & Material Moving","$25000 - $37499","","less1","1~3","4~8","gt8","less1",1,0,0,0,1,"1","50 Below","Afternoon",NA
"A10234","No Urgent Place","Alone","Sunny",55,"2PM","Restaurant(<20)","1d","Female","41","Married partner",1,"Bachelors degree","Management","$62500 - $74999","","1~3","4~8","4~8","4~8","1~3",1,0,0,0,1,"1","50 Below","Afternoon",NA
"A11249","No Urgent Place","Kid(s)","Sunny",80,"2PM","Restaurant(<20)","1d","Female","50plus","Married partner",1,"Some college - no degree","Education&Training&Library","$25000 - $37499","","never","less1","gt8","4~8","less1",1,0,0,0,1,"1","50 Above","Afternoon",NA
"A11546","Work","Alone","Snowy",30,"7AM","Restaurant(20-50)","1d","Female","46","Married partner",0,"Bachelors degree","Construction & Extraction","$12500 - $24999","","1~3","4~8","4~8","1~3","less1",1,1,1,0,1,"1","50 Below","Morning",NA
"A11881","Home","Alone","Sunny",55,"6PM","Bar","1d","Male","26","Single",0,"High School Graduate","Sales & Related","$12500 - $24999","","never","never","4~8","1~3","never",1,0,0,1,0,"1","50 Below","Evening",NA
"A12053","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","1d","Male","36","Unmarried partner",1,"Some college - no degree","Unemployed","$87500 - $99999","","1~3","less1","4~8","1~3","less1",1,1,0,0,1,"1","50 Below","Afternoon",NA
"A12421","No Urgent Place","Alone","Sunny",80,"10AM","Coffee House","1d","Female","31","Married partner",1,"Graduate degree (Masters or Doctorate)","Education&Training&Library","$12500 - $24999","","never","1~3","less1","1~3","1~3",1,1,0,0,1,"1","50 Below","Morning",NA
"A13032","Home","Alone","Snowy",30,"6PM","Coffee House","1d","Male","26","Married partner",0,"Graduate degree (Masters or Doctorate)","Architecture & Engineering","$100000 or More","","1~3","1~3","1~3","4~8","4~8",1,1,0,0,1,"1","50 Below","Evening",NA
"A13081","No Urgent Place","Alone","Sunny",80,"10PM","Restaurant(<20)","1d","Female","21","Single",0,"Associates degree","Sales & Related","$25000 - $37499","","4~8","1~3","4~8","1~3","less1",1,0,0,0,1,"1","50 Below","Night",NA
"A14653","Home","Alone","Sunny",80,"6PM","Coffee House","1d","Female","26","Unmarried partner",0,"Bachelors degree","Education&Training&Library","$50000 - $62499","","1~3","1~3","1~3","1~3","1~3",1,0,0,0,1,"1","50 Below","Evening",NA
"A15465","Home","Alone","Sunny",55,"6PM","Restaurant(20-50)","1d","Female","41","Married partner",1,"Associates degree","Unemployed","$75000 - $87499","","never","less1","4~8","1~3","less1",1,1,0,0,1,"0","50 Below","Evening",NA
"A15615","No Urgent Place","Kid(s)","Sunny",80,"10AM","Carry out & Take away","1d","Male","21","Single",0,"Bachelors degree","Computer & Mathematical","$12500 - $24999","","less1","1~3","gt8","gt8","1~3",1,1,0,0,1,"1","50 Below","Morning",NA
"A15789","Home","Alone","Sunny",80,"6PM","Coffee House","1d","Male","31","Single",0,"High School Graduate","Production Occupations","$25000 - $37499","","1~3","never","4~8","1~3","less1",1,0,0,0,1,"0","50 Below","Evening",NA
"A15866","No Urgent Place","Friend(s)","Sunny",80,"10AM","Coffee House","2h","Male","26","Single",0,"Bachelors degree","Business & Financial","$100000 or More","","4~8","1~3","1~3","1~3","less1",1,1,0,0,1,"1","50 Below","Morning",NA
"A15890","Home","Alone","Sunny",80,"6PM","Carry out & Take away","1d","Female","21","Married partner",1,"Some college - no degree","Unemployed","$25000 - $37499","","never","less1","1~3","1~3","never",1,0,0,0,1,"1","50 Below","Evening",NA
"A16388","Home","Alone","Sunny",55,"6PM","Bar","1d","Male","50plus","Widowed",0,"Some college - no degree","Construction & Extraction","Less than $12500","","never","never","less1","1~3","less1",1,0,0,1,0,"0","50 Above","Evening",NA
"A16517","Work","Alone","Sunny",80,"7AM","Restaurant(20-50)","2h","Male","26","Single",0,"Associates degree","Management","$37500 - $49999","","4~8","1~3","4~8","1~3","less1",1,1,0,0,1,"0","50 Below","Morning",NA
"A17830","No Urgent Place","Friend(s)","Rainy",55,"10PM","Restaurant(20-50)","2h","Male","31","Single",0,"Bachelors degree","Education&Training&Library","$50000 - $62499","","never","never","1~3","1~3","1~3",1,1,0,0,1,"1","50 Below","Night",NA
"A18208","Home","Alone","Sunny",80,"10PM","Carry out & Take away","1d","Female","below21","Single",0,"High School Graduate","Unemployed","Less than $12500","","never","never","4~8","4~8","never",1,0,0,1,0,"1","50 Below","Night",NA
"A18704","Work","Alone","Rainy",55,"7AM","Carry out & Take away","1d","Female","21","Married partner",1,"Some college - no degree","Sales & Related","$25000 - $37499","","less1","1~3","4~8","1~3","never",1,0,0,0,1,"1","50 Below","Morning",NA
"A19026","Home","Alone","Rainy",55,"6PM","Bar","1d","Female","21","Single",0,"Associates degree","Sales & Related","$25000 - $37499","","4~8","1~3","4~8","1~3","less1",1,1,1,0,1,"1","50 Below","Evening",NA
"A19155","No Urgent Place","Partner","Snowy",30,"10AM","Restaurant(<20)","1d","Male","below21","Unmarried partner",0,"Some college - no degree","Student","$25000 - $37499","","never","never","1~3","less1","never",1,0,0,0,1,"0","50 Below","Morning",NA
"A19346","No Urgent Place","Friend(s)","Sunny",80,"10PM","Coffee House","1d","Male","below21","Single",0,"Some college - no degree","Student","$25000 - $37499","","never","never","less1","never","Unknown",1,1,0,0,1,"0","50 Below","Night",NA
"A19653","No Urgent Place","Alone","Sunny",55,"2PM","Restaurant(<20)","1d","Female","21","Single",0,"Some college - no degree","Management","$25000 - $37499","","4~8","less1","gt8","1~3","1~3",1,0,0,0,1,"1","50 Below","Afternoon",NA
"A19889","No Urgent Place","Alone","Rainy",55,"10AM","Coffee House","1d","Female","36","Married partner",1,"Graduate degree (Masters or Doctorate)","Healthcare Practitioners & Technical","$87500 - $99999","","1~3","4~8","4~8","4~8","1~3",1,1,0,0,1,"1","50 Below","Morning",NA
"A20172","No Urgent Place","Alone","Sunny",80,"2PM","Restaurant(<20)","2h","Female","50plus","Single",0,"Graduate degree (Masters or Doctorate)","Unemployed","Less than $12500","","never","gt8","1~3","less1","less1",1,1,0,0,1,"1","50 Above","Afternoon",NA
"A20632","Home","Alone","Sunny",80,"10PM","Restaurant(20-50)","1d","Female","31","Unmarried partner",0,"Graduate degree (Masters or Doctorate)","Computer & Mathematical","$50000 - $62499","","less1","1~3","less1","1~3","less1",1,1,0,0,1,"1","50 Below","Night",NA
"A21114","Work","Alone","Sunny",55,"7AM","Bar","1d","Female","21","Unmarried partner",0,"Bachelors degree","Sales & Related","$25000 - $37499","","1~3","4~8","4~8","1~3","1~3",1,1,1,0,1,"1","50 Below","Morning",NA
"A23729","No Urgent Place","Alone","Sunny",55,"6PM","Coffee House","2h","Female","21","Married partner",1,"Some college - no degree","Student","$12500 - $24999","","1~3","1~3","4~8","4~8","never",1,0,0,0,1,"1","50 Below","Evening",NA
"A24322","Home","Alone","Sunny",80,"10PM","Restaurant(20-50)","1d","Male","21","Single",0,"Some college - no degree","Student","Less than $12500","","less1","less1","less1","1~3","1~3",1,0,0,0,1,"1","50 Below","Night",NA
"A24475","Home","Alone","Sunny",80,"6PM","Coffee House","1d","Male","36","Married partner",1,"Graduate degree (Masters or Doctorate)","Transportation & Material Moving","$87500 - $99999","","less1","less1","less1","1~3","less1",1,0,0,1,0,"0","50 Below","Evening",NA
"A24748","Home","Alone","Sunny",80,"6PM","Coffee House","2h","Male","21","Single",0,"Some college - no degree","Student","$12500 - $24999","","less1","never","less1","less1","less1",1,0,0,0,1,"0","50 Below","Evening",NA
"A24979","No Urgent Place","Alone","Sunny",80,"10AM","Bar","1d","Female","21","Single",0,"Bachelors degree","Life Physical Social Science","$37500 - $49999","","less1","never","less1","1~3","never",1,0,0,0,1,"0","50 Below","Morning",NA
"A25059","No Urgent Place","Alone","Rainy",55,"10AM","Bar","1d","Male","21","Single",0,"Bachelors degree","Legal","$87500 - $99999","","1~3","less1","less1","less1","less1",1,1,0,0,1,"1","50 Below","Morning",NA
"A25203","Home","Alone","Sunny",55,"6PM","Restaurant(20-50)","1d","Male","26","Married partner",1,"Bachelors degree","Computer & Mathematical","$100000 or More","","1~3","gt8","4~8","gt8","4~8",1,1,0,0,1,"1","50 Below","Evening",NA
"A26406","Home","Alone","Sunny",55,"6PM","Restaurant(20-50)","1d","Female","41","Married partner",1,"Some college - no degree","Unemployed","$25000 - $37499","","never","never","4~8","1~3","less1",1,1,0,0,1,"0","50 Below","Evening",NA
"A27158","Work","Alone","Snowy",30,"7AM","Restaurant(<20)","2h","Female","31","Married partner",0,"Some college - no degree","Computer & Mathematical","$100000 or More","","less1","less1","gt8","4~8","less1",1,1,1,0,1,"0","50 Below","Morning",NA
"A27820","Work","Alone","Sunny",55,"7AM","Bar","1d","Female","31","Married partner",1,"Graduate degree (Masters or Doctorate)","Unemployed","$62500 - $74999","","never","less1","1~3","less1","less1",1,1,1,0,1,"0","50 Below","Morning",NA
"A27832","No Urgent Place","Alone","Sunny",80,"10AM","Bar","1d","Female","36","Single",1,"Graduate degree (Masters or Doctorate)","Education&Training&Library","$37500 - $49999","","less1","never","4~8","1~3","less1",1,0,0,0,1,"0","50 Below","Morning",NA
"A27929","Work","Alone","Sunny",55,"7AM","Coffee House","2h","Male","36","Married partner",1,"Some college - no degree","Management","$50000 - $62499","","less1","1~3","4~8","1~3","1~3",1,1,0,0,1,"0","50 Below","Morning",NA
"A28377","Work","Alone","Snowy",30,"7AM","Coffee House","1d","Female","46","Married partner",1,"Bachelors degree","Business & Financial","$100000 or More","","never","4~8","4~8","1~3","Unknown",1,0,0,1,0,"1","50 Below","Morning",NA
"A28512","Home","Alone","Rainy",55,"10PM","Coffee House","2h","Female","50plus","Widowed",1,"High School Graduate","Retired","$12500 - $24999","","never","never","4~8","1~3","Unknown",1,0,0,1,0,"0","50 Above","Night",NA
"A29012","Home","Alone","Sunny",55,"6PM","Bar","2h","Female","31","Married partner",1,"Associates degree","Unemployed","$37500 - $49999","","never","1~3","1~3","1~3","1~3",1,1,0,1,0,"0","50 Below","Evening",NA
"A29362","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(<20)","2h","Female","26","Married partner",1,"Bachelors degree","Protective Service","$100000 or More","","never","gt8","4~8","gt8","1~3",1,1,0,0,1,"1","50 Below","Afternoon",NA
"A29605","No Urgent Place","Friend(s)","Sunny",55,"2PM","Coffee House","2h","Male","21","Single",0,"Some college - no degree","Student","$12500 - $24999","","less1","never","less1","less1","less1",1,0,0,0,1,"0","50 Below","Afternoon",NA
"A29863","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(<20)","2h","Male","26","Married partner",0,"Bachelors degree","Computer & Mathematical","$75000 - $87499","","1~3","never","1~3","1~3","less1",1,1,0,0,1,"1","50 Below","Afternoon",NA
"A30713","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(20-50)","2h","Male","36","Married partner",0,"Associates degree","Management","$100000 or More","","1~3","1~3","1~3","1~3","1~3",1,1,0,0,1,"1","50 Below","Afternoon",NA
"A30930","No Urgent Place","Alone","Snowy",30,"2PM","Bar","1d","Male","31","Single",0,"Bachelors degree","Office & Administrative Support","$25000 - $37499","","never","less1","less1","less1","less1",1,0,0,0,1,"0","50 Below","Afternoon",NA
"A31280","No Urgent Place","Friend(s)","Sunny",30,"10PM","Restaurant(<20)","2h","Female","31","Married partner",0,"Some college - no degree","Arts Design Entertainment Sports & Media","$100000 or More","","less1","less1","gt8","4~8","less1",1,0,0,0,1,"1","50 Below","Night",NA
"A31291","No Urgent Place","Friend(s)","Sunny",30,"10AM","Carry out & Take away","2h","Male","31","Single",0,"Associates degree","Unemployed","Less than $12500","","less1","less1","less1","1~3","less1",1,0,0,0,1,"1","50 Below","Morning",NA
"A31363","No Urgent Place","Alone","Sunny",80,"10PM","Restaurant(<20)","1d","Female","31","Married partner",0,"Some college - no degree","Arts Design Entertainment Sports & Media","$100000 or More","","less1","less1","gt8","4~8","less1",1,0,0,0,1,"1","50 Below","Night",NA
"A31827","Home","Alone","Sunny",80,"10PM","Restaurant(20-50)","1d","Male","21","Single",0,"Bachelors degree","Student","$25000 - $37499","","1~3","4~8","1~3","1~3","less1",1,0,0,0,1,"1","50 Below","Night",NA
"A31843","No Urgent Place","Friend(s)","Sunny",55,"10PM","Bar","2h","Male","21","Single",0,"Some college - no degree","Student","Less than $12500","","less1","less1","less1","1~3","1~3",1,1,0,0,1,"1","50 Below","Night",NA
"A32168","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","2h","Male","46","Single",0,"Some college - no degree","Student","$12500 - $24999","","never","4~8","1~3","1~3","never",1,1,0,0,1,"1","50 Below","Afternoon",NA
"A32364","Home","Alone","Sunny",55,"6PM","Bar","1d","Male","50plus","Married partner",0,"Bachelors degree","Personal Care & Service","$50000 - $62499","","never","less1","less1","1~3","less1",1,0,0,1,0,"0","50 Above","Evening",NA
